ID,code,description
7e0a0001-0001-0001-0001-000000000001,01,01
7e0a0001-0001-0001-0001-000000000002,02,02
7e0a0001-0001-0001-0001-000000000003,03,03
7e0a0001-0001-0001-0001-000000000004,04,04
7e0a0001-0001-0001-0001-000000000005,05,05
7e0a0001-0001-0001-0001-000000000006,06,06
7e0a0001-0001-0001-0001-000000000007,07,07
7e0a0001-0001-0001-0001-000000000008,08,08
7e0a0001-0001-0001-0001-000000000009,09,09
7e0a0001-0001-0001-0001-000000000010,10,10
7e0a0001-0001-0001-0001-000000000011,11,11
7e0a0001-0001-0001-0001-000000000012,12,12
